Modelo,F1,AUC-ROC,Precision,Recall
LightGBM (tuned),0.959300069837821,0.9506280153963178,0.9526102870352533,0.9660844762239675
XGBoost,0.9524614658697703,0.9475157808707508,0.9585295397886906,0.9464697378189348
Random Forest,0.9457857682669742,0.9460638608487337,0.9631009761432217,0.9290821709061071
Logistic Regression,0.9282503947847917,0.9292502089298733,0.9631948237469014,0.8957527448911812
